Characteristic,Condition Bin,Known Attendance,Did Attend,Did Not Attend,Did Attend Pct,Known Attendance For Characteristic,Did Attend Pct Characteristic,Char Att Diff,Known Attendance For Condition Bin,Did Attend Pct Condition Bin,Con Bin Att Diff,Char Con Bin
Female,Not Hot,2373,1425,948,60.05056890012642,2436,60.42692939244664,0.38,7952,68.58651911468813,8.54,Female + Not Hot
Female,Not Precip Over Zero,2358,1432,926,60.729431721798136,2436,60.42692939244664,-0.3,7995,69.11819887429644,8.39,Female + Not Precip Over Zero
Female,Not Below Freezing Or Cold,1309,884,425,67.53246753246754,2436,60.42692939244664,-7.11,4401,73.14246762099523,5.61,Female + Not Below Freezing Or Cold
Female,Below Freezing Or Cold,1114,579,535,51.97486535008977,2436,60.42692939244664,8.45,3760,63.56382978723404,11.59,Female + Below Freezing Or Cold
Male,Below Freezing Or Cold,2258,1586,672,70.23914968999114,4859,73.5336488989504,3.29,3760,63.56382978723404,-6.68,Male + Below Freezing Or Cold
Female,Not Hoodie Weather Or Nice,1164,617,547,53.00687285223368,2436,60.42692939244664,7.42,3969,64.12194507432602,11.12,Female + Not Hoodie Weather Or Nice
Female,Hoodie Weather Or Nice,1259,846,413,67.19618745035743,2436,60.42692939244664,-6.77,4192,73.09160305343512,5.9,Female + Hoodie Weather Or Nice
Male,Not Hoodie Weather Or Nice,2384,1676,708,70.30201342281879,4859,73.5336488989504,3.23,3969,64.12194507432602,-6.18,Male + Not Hoodie Weather Or Nice
Female,Not Sig Rainy Or Snowy,1911,1197,714,62.637362637362635,2436,60.42692939244664,-2.21,6525,69.8544061302682,7.22,Female + Not Sig Rainy Or Snowy
Female,Sig Rainy Or Snowy,512,266,246,51.953125,2436,60.42692939244664,8.47,1636,64.24205378973105,12.29,Female + Sig Rainy Or Snowy
Male,Sig Rainy Or Snowy,949,675,274,71.12750263435194,4859,73.5336488989504,2.41,1636,64.24205378973105,-6.89,Male + Sig Rainy Or Snowy
Female,Not Miserable,1986,1241,745,62.487411883182276,2436,60.42692939244664,-2.06,6760,69.79289940828403,7.31,Female + Not Miserable
Female,Miserable,437,222,215,50.800915331807786,2436,60.42692939244664,9.63,1401,63.597430406852254,12.8,Female + Miserable
Male,Miserable,819,580,239,70.81807081807082,4859,73.5336488989504,2.72,1401,63.597430406852254,-7.22,Male + Miserable
Female,Not Peaceful,1239,661,578,53.34947538337369,2436,60.42692939244664,7.08,4204,64.34348239771646,10.99,Female + Not Peaceful
Female,Peaceful,1184,802,382,67.73648648648648,2436,60.42692939244664,-7.31,3957,73.38893100833965,5.65,Female + Peaceful
Male,Not Peaceful,2514,1771,743,70.44550517104217,4859,73.5336488989504,3.09,4204,64.34348239771646,-6.1,Male + Not Peaceful
Female,Not Wind Without Precip,2229,1352,877,60.655002243158364,2436,60.42692939244664,-0.23,7507,68.97562275209805,8.32,Female + Not Wind Without Precip
Female,Wind Without Precip,194,111,83,57.21649484536082,2436,60.42692939244664,3.21,654,65.90214067278288,8.69,Female + Wind Without Precip
Female,Not Calm Air Without Precip,706,377,329,53.39943342776204,2436,60.42692939244664,7.03,2290,64.71615720524018,11.32,Female + Not Calm Air Without Precip
Female,Calm Air Without Precip,1717,1086,631,63.24985439720443,2436,60.42692939244664,-2.82,5871,70.29466871061149,7.04,Female + Calm Air Without Precip
Male,Not Calm Air Without Precip,1331,942,389,70.77385424492863,4859,73.5336488989504,2.76,2290,64.71615720524018,-6.06,Male + Not Calm Air Without Precip
Female,Not Wind With Precip,2337,1422,915,60.84724005134788,2436,60.42692939244664,-0.42,7879,69.05698692727503,8.21,Female + Not Wind With Precip
Male,Wind With Precip,163,107,56,65.6441717791411,4859,73.5336488989504,7.89,282,59.57446808510638,-6.07,Male + Wind With Precip
Female,Not Calm Air With Precip,1997,1238,759,61.992989484226335,2436,60.42692939244664,-1.57,6807,69.42852945497282,7.44,Female + Not Calm Air With Precip
Female,Calm Air With Precip,426,225,201,52.816901408450704,2436,60.42692939244664,7.61,1354,65.21418020679468,12.4,Female + Calm Air With Precip
Male,Calm Air With Precip,786,568,218,72.264631043257,4859,73.5336488989504,1.27,1354,65.21418020679468,-7.05,Male + Calm Air With Precip
In Season,Sig Rainy,253,162,91,64.03162055335969,3246,69.16204559457793,5.13,697,61.54949784791965,-2.48,In Season + Sig Rainy
Not In Season,Sig Rainy,431,260,171,60.32482598607889,4867,68.99527429628107,8.67,697,61.54949784791965,1.22,Not In Season + Sig Rainy
Not In Season,Cold,1850,1159,691,62.64864864864865,4867,68.99527429628107,6.35,3123,63.20845341018252,0.56,Not In Season + Cold
Not In Season,Nice,1151,864,287,75.06516072980017,4867,68.99527429628107,-6.07,2000,74.25,-0.82,Not In Season + Nice
In Season,Hot,110,75,35,68.18181818181817,3246,69.16204559457793,0.98,209,74.16267942583733,5.98,In Season + Hot
Not In Season,Precip Over Zero,103,57,46,55.33980582524271,4867,68.99527429628107,13.66,166,50,-5.34,Not In Season + Precip Over Zero
Not In Season,Below Freezing Or Cold,2240,1411,829,62.99107142857143,4867,68.99527429628107,6,3760,63.56382978723404,0.57,Not In Season + Below Freezing Or Cold
Not In Season,Not Hoodie Weather Or Nice,2336,1489,847,63.74143835616438,4867,68.99527429628107,5.25,3969,64.12194507432602,0.38,Not In Season + Not Hoodie Weather Or Nice
Not In Season,Sig Rainy Or Snowy,1004,641,363,63.84462151394422,4867,68.99527429628107,5.15,1636,64.24205378973105,0.4,Not In Season + Sig Rainy Or Snowy
Not In Season,Miserable,846,532,314,62.88416075650118,4867,68.99527429628107,6.11,1401,63.597430406852254,0.71,Not In Season + Miserable
Not In Season,Peaceful,2339,1731,608,74.00598546387344,4867,68.99527429628107,-5.01,3957,73.38893100833965,-0.62,Not In Season + Peaceful
Not In Season,Wind Without Precip,365,231,134,63.287671232876704,4867,68.99527429628107,5.71,654,65.90214067278288,2.61,Not In Season + Wind Without Precip
Not In Season,Not Calm Air Without Precip,1369,872,497,63.69612856099343,4867,68.99527429628107,5.3,2290,64.71615720524018,1.02,Not In Season + Not Calm Air Without Precip
Not In Season,Wind With Precip,190,120,70,63.1578947368421,4867,68.99527429628107,5.84,282,59.57446808510638,-3.58,Not In Season + Wind With Precip
Football,Sig Rainy,194,138,56,71.1340206185567,2539,71.95746356833399,0.82,697,61.54949784791965,-9.58,Football + Sig Rainy
Men's Crew,Not Sig Rainy,348,207,141,59.48275862068966,381,59.055118110236215,-0.43,7464,69.39978563772776,9.92,Men's Crew + Not Sig Rainy
Men's Lacrosse,Not Sig Rainy,1423,1146,277,80.53408292340126,1561,80.0128122998078,-0.52,7464,69.39978563772776,-11.13,Men's Lacrosse + Not Sig Rainy
Men's Lacrosse,Sig Rainy,119,85,34,71.42857142857143,1561,80.0128122998078,8.58,697,61.54949784791965,-9.88,Men's Lacrosse + Sig Rainy
Men's Track,Not Sig Rainy,428,325,103,75.93457943925233,466,75.53648068669528,-0.4,7464,69.39978563772776,-6.53,Men's Track + Not Sig Rainy
Men's Women's Spirit Teams,Not Sig Rainy,101,53,48,52.475247524752476,114,52.63157894736842,0.16,7464,69.39978563772776,16.92,Men's Women's Spirit Teams + Not Sig Rainy
Women's Ice Hockey,Not Sig Rainy,236,139,97,58.89830508474576,267,57.67790262172284,-1.22,7464,69.39978563772776,10.5,Women's Ice Hockey + Not Sig Rainy
Women's Lacrosse,Not Sig Rainy,342,192,150,56.14035087719298,370,56.486486486486484,0.35,7464,69.39978563772776,13.26,Women's Lacrosse + Not Sig Rainy
Women's Rowing,Not Sig Rainy,446,258,188,57.847533632286996,484,57.231404958677686,-0.62,7464,69.39978563772776,11.55,Women's Rowing + Not Sig Rainy
Women's Soccer,Not Sig Rainy,127,69,58,54.330708661417326,147,55.10204081632652,0.77,7464,69.39978563772776,15.07,Women's Soccer + Not Sig Rainy
Women's Volleyball,Not Sig Rainy,220,121,99,55.00000000000001,238,53.78151260504202,-1.22,7464,69.39978563772776,14.4,Women's Volleyball + Not Sig Rainy
Football,Snowy,313,228,85,72.84345047923323,2539,71.95746356833399,-0.89,939,66.24068157614484,-6.6,Football + Snowy
Men's Crew,Not Snowy,342,199,143,58.187134502923975,381,59.055118110236215,0.87,7222,69.052893935198,10.87,Men's Crew + Not Snowy
Men's Lacrosse,Not Snowy,1361,1083,278,79.5738427626745,1561,80.0128122998078,0.44,7222,69.052893935198,-10.52,Men's Lacrosse + Not Snowy
Men's Lacrosse,Snowy,181,148,33,81.76795580110497,1561,80.0128122998078,-1.76,939,66.24068157614484,-15.53,Men's Lacrosse + Snowy
Men's Track,Not Snowy,410,312,98,76.09756097560975,466,75.53648068669528,-0.56,7222,69.052893935198,-7.04,Men's Track + Not Snowy
Men's Women's Spirit Teams,Not Snowy,106,57,49,53.77358490566038,114,52.63157894736842,-1.14,7222,69.052893935198,15.28,Men's Women's Spirit Teams + Not Snowy
Women's Ice Hockey,Not Snowy,237,141,96,59.49367088607595,267,57.67790262172284,-1.82,7222,69.052893935198,9.56,Women's Ice Hockey + Not Snowy
Women's Lacrosse,Not Snowy,328,195,133,59.45121951219512,370,56.486486486486484,-2.96,7222,69.052893935198,9.6,Women's Lacrosse + Not Snowy
Women's Rowing,Not Snowy,454,258,196,56.82819383259912,484,57.231404958677686,0.4,7222,69.052893935198,12.22,Women's Rowing + Not Snowy
Women's Soccer,Not Snowy,127,74,53,58.26771653543307,147,55.10204081632652,-3.17,7222,69.052893935198,10.79,Women's Soccer + Not Snowy
Women's Softball,Not Snowy,173,107,66,61.849710982658955,188,61.702127659574465,-0.15,7222,69.052893935198,7.2,Women's Softball + Not Snowy
Women's Volleyball,Not Snowy,211,115,96,54.502369668246445,238,53.78151260504202,-0.72,7222,69.052893935198,14.55,Women's Volleyball + Not Snowy
Men's Basketball,Not Windy,306,195,111,63.725490196078425,309,63.43042071197411,-0.3,8039,68.86428660281129,5.14,Men's Basketball + Not Windy
Men's Crew,Not Windy,375,221,154,58.93333333333334,381,59.055118110236215,0.12,8039,68.86428660281129,9.93,Men's Crew + Not Windy
Men's Lacrosse,Not Windy,1516,1214,302,80.07915567282322,1561,80.0128122998078,-0.07,8039,68.86428660281129,-11.21,Men's Lacrosse + Not Windy
Men's Track,Not Windy,453,345,108,76.15894039735099,466,75.53648068669528,-0.62,8039,68.86428660281129,-7.29,Men's Track + Not Windy
Men's Women's Spirit Teams,Not Windy,113,59,54,52.21238938053098,114,52.63157894736842,0.42,8039,68.86428660281129,16.65,Men's Women's Spirit Teams + Not Windy
Women's Ice Hockey,Not Windy,263,151,112,57.414448669201526,267,57.67790262172284,0.26,8039,68.86428660281129,11.45,Women's Ice Hockey + Not Windy
Women's Lacrosse,Not Windy,364,206,158,56.59340659340659,370,56.486486486486484,-0.11,8039,68.86428660281129,12.27,Women's Lacrosse + Not Windy
Women's Rowing,Not Windy,492,281,211,57.113821138211385,484,57.231404958677686,0.12,8039,68.86428660281129,11.75,Women's Rowing + Not Windy
Women's Soccer,Not Windy,143,78,65,54.54545454545454,147,55.10204081632652,0.56,8039,68.86428660281129,14.32,Women's Soccer + Not Windy
Women's Softball,Not Windy,187,116,71,62.03208556149733,188,61.702127659574465,-0.33,8039,68.86428660281129,6.83,Women's Softball + Not Windy
Women's Volleyball,Not Windy,235,127,108,54.04255319148936,238,53.78151260504202,-0.26,8039,68.86428660281129,14.82,Women's Volleyball + Not Windy
Field Hockey,Not Below Freezing,233,148,85,63.519313304721024,249,63.85542168674698,0.34,7524,69.01913875598086,5.5,Field Hockey + Not Below Freezing
Football,Below Freezing,202,133,69,65.84158415841584,2539,71.95746356833399,6.12,637,65.3061224489796,-0.54,Football + Below Freezing
Men's Basketball,Not Below Freezing,282,177,105,62.76595744680851,309,63.43042071197411,0.66,7524,69.01913875598086,6.25,Men's Basketball + Not Below Freezing
Men's Crew,Not Below Freezing,355,207,148,58.309859154929576,381,59.055118110236215,0.75,7524,69.01913875598086,10.71,Men's Crew + Not Below Freezing
Men's Lacrosse,Not Below Freezing,1395,1126,269,80.7168458781362,1561,80.0128122998078,-0.7,7524,69.01913875598086,-11.7,Men's Lacrosse + Not Below Freezing
Men's Lacrosse,Below Freezing,147,105,42,71.42857142857143,1561,80.0128122998078,8.58,637,65.3061224489796,-6.12,Men's Lacrosse + Below Freezing
Men's Track,Not Below Freezing,424,321,103,75.70754716981132,466,75.53648068669528,-0.17,7524,69.01913875598086,-6.69,Men's Track + Not Below Freezing
Men's Women's Spirit Teams,Not Below Freezing,109,57,52,52.293577981651374,114,52.63157894736842,0.34,7524,69.01913875598086,16.73,Men's Women's Spirit Teams + Not Below Freezing
Women's Ice Hockey,Not Below Freezing,253,147,106,58.10276679841897,267,57.67790262172284,-0.42,7524,69.01913875598086,10.92,Women's Ice Hockey + Not Below Freezing
Women's Lacrosse,Not Below Freezing,347,193,154,55.61959654178674,370,56.486486486486484,0.87,7524,69.01913875598086,13.4,Women's Lacrosse + Not Below Freezing
Women's Rowing,Not Below Freezing,469,265,204,56.50319829424307,484,57.231404958677686,0.73,7524,69.01913875598086,12.52,Women's Rowing + Not Below Freezing
Women's Soccer,Not Below Freezing,140,77,63,55.00000000000001,147,55.10204081632652,0.1,7524,69.01913875598086,14.02,Women's Soccer + Not Below Freezing
Women's Softball,Not Below Freezing,171,108,63,63.1578947368421,188,61.702127659574465,-1.46,7524,69.01913875598086,5.86,Women's Softball + Not Below Freezing
Women's Volleyball,Not Below Freezing,224,125,99,55.80357142857143,238,53.78151260504202,-2.02,7524,69.01913875598086,13.22,Women's Volleyball + Not Below Freezing
Field Hockey,Not Cold,140,93,47,66.42857142857143,249,63.85542168674698,-2.57,5038,72.1516474791584,5.72,Field Hockey + Not Cold
Football,Cold,974,670,304,68.78850102669405,2539,71.95746356833399,3.17,3123,63.20845341018252,-5.58,Football + Cold
Men's Basketball,Cold,110,60,50,54.54545454545454,309,63.43042071197411,8.88,3123,63.20845341018252,8.66,Men's Basketball + Cold
Men's Crew,Not Cold,207,133,74,64.25120772946859,381,59.055118110236215,-5.2,5038,72.1516474791584,7.9,Men's Crew + Not Cold
Men's Crew,Cold,176,92,84,52.27272727272727,381,59.055118110236215,6.78,3123,63.20845341018252,10.94,Men's Crew + Cold
Men's Lacrosse,Not Cold,990,786,204,79.39393939393939,1561,80.0128122998078,0.62,5038,72.1516474791584,-7.24,Men's Lacrosse + Not Cold
Men's Lacrosse,Cold,552,445,107,80.61594202898551,1561,80.0128122998078,-0.6,3123,63.20845341018252,-17.41,Men's Lacrosse + Cold
Men's Track,Not Cold,297,234,63,78.78787878787878,466,75.53648068669528,-3.25,5038,72.1516474791584,-6.64,Men's Track + Not Cold
Men's Track,Cold,166,115,51,69.27710843373494,466,75.53648068669528,6.26,3123,63.20845341018252,-6.07,Men's Track + Cold
Women's Basketball,Not Cold,122,97,25,79.50819672131148,205,71.21951219512195,-8.29,5038,72.1516474791584,-7.36,Women's Basketball + Not Cold
Women's Ice Hockey,Not Cold,162,114,48,70.37037037037037,267,57.67790262172284,-12.69,5038,72.1516474791584,1.78,Women's Ice Hockey + Not Cold
Women's Ice Hockey,Cold,104,39,65,37.5,267,57.67790262172284,20.18,3123,63.20845341018252,25.71,Women's Ice Hockey + Cold
Women's Lacrosse,Not Cold,242,158,84,65.28925619834712,370,56.486486486486484,-8.8,5038,72.1516474791584,6.86,Women's Lacrosse + Not Cold
Women's Lacrosse,Cold,125,50,75,40,370,56.486486486486484,16.49,3123,63.20845341018252,23.21,Women's Lacrosse + Cold
Women's Rowing,Not Cold,317,208,109,65.61514195583597,484,57.231404958677686,-8.38,5038,72.1516474791584,6.54,Women's Rowing + Not Cold
Women's Rowing,Cold,184,77,107,41.84782608695652,484,57.231404958677686,15.38,3123,63.20845341018252,21.36,Women's Rowing + Cold
Women's Softball,Not Cold,118,73,45,61.86440677966102,188,61.702127659574465,-0.16,5038,72.1516474791584,10.29,Women's Softball + Not Cold
Women's Track,Cold,193,121,72,62.69430051813472,493,68.15415821501014,5.46,3123,63.20845341018252,0.51,Women's Track + Cold
Women's Volleyball,Not Cold,140,78,62,55.714285714285715,238,53.78151260504202,-1.93,5038,72.1516474791584,16.44,Women's Volleyball + Not Cold
Men's Crew,Not Hoodie Weather,271,156,115,57.564575645756456,381,59.055118110236215,1.49,5969,67.51549673312113,9.95,Men's Crew + Not Hoodie Weather
Men's Crew,Hoodie Weather,112,69,43,61.60714285714286,381,59.055118110236215,-2.55,2192,72.03467153284672,10.43,Men's Crew + Hoodie Weather
Men's Lacrosse,Not Hoodie Weather,1109,881,228,79.4409377817854,1561,80.0128122998078,0.57,5969,67.51549673312113,-11.93,Men's Lacrosse + Not Hoodie Weather
Men's Lacrosse,Hoodie Weather,433,350,83,80.83140877598153,1561,80.0128122998078,-0.82,2192,72.03467153284672,-8.8,Men's Lacrosse + Hoodie Weather
Men's Track,Not Hoodie Weather,331,249,82,75.22658610271903,466,75.53648068669528,0.31,5969,67.51549673312113,-7.71,Men's Track + Not Hoodie Weather
Women's Ice Hockey,Not Hoodie Weather,202,109,93,53.960396039603964,267,57.67790262172284,3.72,5969,67.51549673312113,13.56,Women's Ice Hockey + Not Hoodie Weather
Women's Lacrosse,Not Hoodie Weather,266,147,119,55.26315789473685,370,56.486486486486484,1.22,5969,67.51549673312113,12.25,Women's Lacrosse + Not Hoodie Weather
Women's Lacrosse,Hoodie Weather,101,61,40,60.396039603960396,370,56.486486486486484,-3.91,2192,72.03467153284672,11.64,Women's Lacrosse + Hoodie Weather
Women's Rowing,Not Hoodie Weather,366,195,171,53.278688524590166,484,57.231404958677686,3.95,5969,67.51549673312113,14.24,Women's Rowing + Not Hoodie Weather
Women's Rowing,Hoodie Weather,135,90,45,66.66666666666666,484,57.231404958677686,-9.44,2192,72.03467153284672,5.37,Women's Rowing + Hoodie Weather
Women's Soccer,Not Hoodie Weather,106,59,47,55.660377358490564,147,55.10204081632652,-0.56,5969,67.51549673312113,11.86,Women's Soccer + Not Hoodie Weather
Women's Softball,Not Hoodie Weather,127,76,51,59.84251968503938,188,61.702127659574465,1.86,5969,67.51549673312113,7.67,Women's Softball + Not Hoodie Weather
Women's Volleyball,Not Hoodie Weather,176,88,88,50,238,53.78151260504202,3.78,5969,67.51549673312113,17.52,Women's Volleyball + Not Hoodie Weather
Men's Basketball,Not Nice,238,146,92,61.34453781512605,309,63.43042071197411,2.09,6161,66.93718552183087,5.59,Men's Basketball + Not Nice
Men's Crew,Not Nice,318,181,137,56.91823899371069,381,59.055118110236215,2.14,6161,66.93718552183087,10.02,Men's Crew + Not Nice
Men's Lacrosse,Not Nice,1167,929,238,79.60582690659811,1561,80.0128122998078,0.41,6161,66.93718552183087,-12.67,Men's Lacrosse + Not Nice
Men's Lacrosse,Nice,375,302,73,80.53333333333333,1561,80.0128122998078,-0.52,2000,74.25,-6.28,Men's Lacrosse + Nice
Men's Track,Not Nice,347,251,96,72.3342939481268,466,75.53648068669528,3.2,6161,66.93718552183087,-5.4,Men's Track + Not Nice
Men's Track,Nice,116,98,18,84.48275862068965,466,75.53648068669528,-8.95,2000,74.25,-10.23,Men's Track + Nice
Women's Basketball,Not Nice,157,103,54,65.60509554140127,205,71.21951219512195,5.61,6161,66.93718552183087,1.33,Women's Basketball + Not Nice
Women's Ice Hockey,Not Nice,191,97,94,50.78534031413613,267,57.67790262172284,6.89,6161,66.93718552183087,16.15,Women's Ice Hockey + Not Nice
Women's Lacrosse,Not Nice,258,135,123,52.32558139534884,370,56.486486486486484,4.16,6161,66.93718552183087,14.61,Women's Lacrosse + Not Nice
Women's Lacrosse,Nice,109,73,36,66.97247706422019,370,56.486486486486484,-10.49,2000,74.25,7.28,Women's Lacrosse + Nice
Women's Rowing,Not Nice,358,193,165,53.910614525139664,484,57.231404958677686,3.32,6161,66.93718552183087,13.03,Women's Rowing + Not Nice
Women's Rowing,Nice,143,92,51,64.33566433566433,484,57.231404958677686,-7.1,2000,74.25,9.91,Women's Rowing + Nice
Women's Soccer,Not Nice,124,63,61,50.806451612903224,147,55.10204081632652,4.3,6161,66.93718552183087,16.13,Women's Soccer + Not Nice
Women's Track,Nice,120,93,27,77.5,493,68.15415821501014,-9.35,2000,74.25,-3.25,Women's Track + Nice
Women's Volleyball,Not Nice,182,99,83,54.395604395604394,238,53.78151260504202,-0.61,6161,66.93718552183087,12.54,Women's Volleyball + Not Nice
Men's Basketball,Not Hot,303,191,112,63.03630363036304,309,63.43042071197411,0.39,7952,68.58651911468813,5.55,Men's Basketball + Not Hot
Men's Crew,Not Hot,381,223,158,58.53018372703412,381,59.055118110236215,0.52,7952,68.58651911468813,10.06,Men's Crew + Not Hot
Men's Lacrosse,Not Hot,1507,1202,305,79.76111479761114,1561,80.0128122998078,0.25,7952,68.58651911468813,-11.17,Men's Lacrosse + Not Hot
Men's Track,Not Hot,453,341,112,75.27593818984548,466,75.53648068669528,0.26,7952,68.58651911468813,-6.69,Men's Track + Not Hot
Men's Women's Spirit Teams,Not Hot,111,58,53,52.25225225225225,114,52.63157894736842,0.38,7952,68.58651911468813,16.33,Men's Women's Spirit Teams + Not Hot
Women's Ice Hockey,Not Hot,256,145,111,56.640625,267,57.67790262172284,1.04,7952,68.58651911468813,11.95,Women's Ice Hockey + Not Hot
Women's Lacrosse,Not Hot,355,199,156,56.056338028169016,370,56.486486486486484,0.43,7952,68.58651911468813,12.53,Women's Lacrosse + Not Hot
Women's Rowing,Not Hot,494,279,215,56.477732793522264,484,57.231404958677686,0.75,7952,68.58651911468813,12.11,Women's Rowing + Not Hot
Women's Soccer,Not Hot,145,79,66,54.48275862068965,147,55.10204081632652,0.62,7952,68.58651911468813,14.1,Women's Soccer + Not Hot
Women's Softball,Not Hot,187,116,71,62.03208556149733,188,61.702127659574465,-0.33,7952,68.58651911468813,6.55,Women's Softball + Not Hot
Women's Tennis,Not Hot,103,77,26,74.75728155339806,105,74.28571428571429,-0.47,7952,68.58651911468813,-6.17,Women's Tennis + Not Hot
Women's Volleyball,Not Hot,230,122,108,53.04347826086957,238,53.78151260504202,0.74,7952,68.58651911468813,15.54,Women's Volleyball + Not Hot
Men's Crew,Not Precip Over Zero,378,224,154,59.25925925925925,381,59.055118110236215,-0.2,7995,69.11819887429644,9.86,Men's Crew + Not Precip Over Zero
Men's Lacrosse,Not Precip Over Zero,1522,1220,302,80.15768725361366,1561,80.0128122998078,-0.14,7995,69.11819887429644,-11.04,Men's Lacrosse + Not Precip Over Zero
Men's Track,Not Precip Over Zero,451,344,107,76.27494456762749,466,75.53648068669528,-0.74,7995,69.11819887429644,-7.16,Men's Track + Not Precip Over Zero
Men's Women's Spirit Teams,Not Precip Over Zero,112,59,53,52.67857142857143,114,52.63157894736842,-0.05,7995,69.11819887429644,16.44,Men's Women's Spirit Teams + Not Precip Over Zero
Women's Ice Hockey,Not Precip Over Zero,257,152,105,59.143968871595334,267,57.67790262172284,-1.47,7995,69.11819887429644,9.97,Women's Ice Hockey + Not Precip Over Zero
Women's Lacrosse,Not Precip Over Zero,362,204,158,56.353591160220994,370,56.486486486486484,0.13,7995,69.11819887429644,12.76,Women's Lacrosse + Not Precip Over Zero
Women's Rowing,Not Precip Over Zero,490,279,211,56.93877551020409,484,57.231404958677686,0.29,7995,69.11819887429644,12.18,Women's Rowing + Not Precip Over Zero
Women's Soccer,Not Precip Over Zero,141,77,64,54.60992907801418,147,55.10204081632652,0.49,7995,69.11819887429644,14.51,Women's Soccer + Not Precip Over Zero
Women's Softball,Not Precip Over Zero,182,114,68,62.637362637362635,188,61.702127659574465,-0.94,7995,69.11819887429644,6.48,Women's Softball + Not Precip Over Zero
Women's Volleyball,Not Precip Over Zero,234,128,106,54.700854700854705,238,53.78151260504202,-0.92,7995,69.11819887429644,14.42,Women's Volleyball + Not Precip Over Zero
Field Hockey,Not Below Freezing Or Cold,124,82,42,66.12903225806451,249,63.85542168674698,-2.27,4401,73.14246762099523,7.01,Field Hockey + Not Below Freezing Or Cold
Men's Basketball,Not Below Freezing Or Cold,172,117,55,68.02325581395348,309,63.43042071197411,-4.59,4401,73.14246762099523,5.12,Men's Basketball + Not Below Freezing Or Cold
Men's Basketball,Below Freezing Or Cold,137,79,58,57.66423357664233,309,63.43042071197411,5.77,3760,63.56382978723404,5.9,Men's Basketball + Below Freezing Or Cold
Men's Crew,Not Below Freezing Or Cold,179,115,64,64.24581005586593,381,59.055118110236215,-5.19,4401,73.14246762099523,8.9,Men's Crew + Not Below Freezing Or Cold
Men's Crew,Below Freezing Or Cold,204,110,94,53.92156862745098,381,59.055118110236215,5.13,3760,63.56382978723404,9.64,Men's Crew + Below Freezing Or Cold
Men's Lacrosse,Not Below Freezing Or Cold,843,681,162,80.78291814946618,1561,80.0128122998078,-0.77,4401,73.14246762099523,-7.64,Men's Lacrosse + Not Below Freezing Or Cold
Men's Lacrosse,Below Freezing Or Cold,699,550,149,78.6838340486409,1561,80.0128122998078,1.33,3760,63.56382978723404,-15.12,Men's Lacrosse + Below Freezing Or Cold
Men's Track,Not Below Freezing Or Cold,258,206,52,79.84496124031007,466,75.53648068669528,-4.31,4401,73.14246762099523,-6.7,Men's Track + Not Below Freezing Or Cold
Men's Track,Below Freezing Or Cold,205,143,62,69.7560975609756,466,75.53648068669528,5.78,3760,63.56382978723404,-6.19,Men's Track + Below Freezing Or Cold
Women's Basketball,Not Below Freezing Or Cold,105,84,21,80,205,71.21951219512195,-8.78,4401,73.14246762099523,-6.86,Women's Basketball + Not Below Freezing Or Cold
Women's Ice Hockey,Not Below Freezing Or Cold,149,108,41,72.48322147651007,267,57.67790262172284,-14.81,4401,73.14246762099523,0.66,Women's Ice Hockey + Not Below Freezing Or Cold
Women's Ice Hockey,Below Freezing Or Cold,117,45,72,38.46153846153847,267,57.67790262172284,19.22,3760,63.56382978723404,25.1,Women's Ice Hockey + Below Freezing Or Cold
Women's Lacrosse,Not Below Freezing Or Cold,222,143,79,64.41441441441441,370,56.486486486486484,-7.93,4401,73.14246762099523,8.73,Women's Lacrosse + Not Below Freezing Or Cold
Women's Lacrosse,Below Freezing Or Cold,145,65,80,44.827586206896555,370,56.486486486486484,11.66,3760,63.56382978723404,18.74,Women's Lacrosse + Below Freezing Or Cold
Women's Rowing,Not Below Freezing Or Cold,285,188,97,65.96491228070175,484,57.231404958677686,-8.73,4401,73.14246762099523,7.18,Women's Rowing + Not Below Freezing Or Cold
Women's Rowing,Below Freezing Or Cold,216,97,119,44.907407407407405,484,57.231404958677686,12.32,3760,63.56382978723404,18.66,Women's Rowing + Below Freezing Or Cold
Women's Softball,Not Below Freezing Or Cold,102,65,37,63.725490196078425,188,61.702127659574465,-2.02,4401,73.14246762099523,9.42,Women's Softball + Not Below Freezing Or Cold
Women's Track,Not Below Freezing Or Cold,252,187,65,74.20634920634922,493,68.15415821501014,-6.05,4401,73.14246762099523,-1.06,Women's Track + Not Below Freezing Or Cold
Women's Track,Below Freezing Or Cold,236,145,91,61.440677966101696,493,68.15415821501014,6.71,3760,63.56382978723404,2.12,Women's Track + Below Freezing Or Cold
Women's Volleyball,Not Below Freezing Or Cold,126,75,51,59.523809523809526,238,53.78151260504202,-5.74,4401,73.14246762099523,13.62,Women's Volleyball + Not Below Freezing Or Cold
Women's Volleyball,Below Freezing Or Cold,112,53,59,47.32142857142857,238,53.78151260504202,6.46,3760,63.56382978723404,16.24,Women's Volleyball + Below Freezing Or Cold
Field Hockey,Hoodie Weather Or Nice,121,80,41,66.11570247933885,249,63.85542168674698,-2.26,4192,73.09160305343512,6.98,Field Hockey + Hoodie Weather Or Nice
Men's Basketball,Not Hoodie Weather Or Nice,143,84,59,58.74125874125874,309,63.43042071197411,4.69,3969,64.12194507432602,5.38,Men's Basketball + Not Hoodie Weather Or Nice
